姓, 姓(カタカナ), 姓(ひらがな)
小柳,コヤナギ,こやなぎ
小栗,オグリ,おぐり
小森,コモリ,こもり
小椋,オグラ,おぐら
小池,コイケ,こいけ
小沢,オザワ,おざわ
小沼,オヌマ,おぬま
小泉,コイズミ,こいずみ
小澤,オザワ,おざわ
小玉,コダマ,こだま
小田,オダ,おだ
小畑,オハタ,おはた
小畑,オバタ,おばた
小畑,コハタ,こはた
小笠原,オガサワラ,おがさわら
小菅,コスゲ,こすげ
小西,コニシ,こにし
小谷,コタニ,こたに
小野,オノ,おの
小野寺,オノデラ,おのでら
小野田,オノダ,おのだ
小関,オセキ,おせき
小関,オゼキ,おぜき
小高,オダカ,おだか
尾上,オガミ,おがみ
尾崎,オザキ,おざき
尾形,オガタ,おがた
山上,ヤマガミ,やまがみ
山下,ヤマシタ,やました
山中,ヤマナカ,やまなか
山元,ヤマモト,やまもと
山内,ヤマウチ,やまうち
山口,ヤマグチ,やまぐち
山城,ヤマシロ,やましろ
山岡,ヤマオカ,やまおか
山岸,ヤマギシ,やまぎし
山崎,ヤマザキ,やまざき
山川,ヤマカワ,やまかわ
山形,ヤマガタ,やまがた
山本,ヤマモト,やまもと
山村,ヤマムラ,やまむら
山根,ヤマネ,やまね
山田,ヤマダ,やまだ
山脇,ヤマワキ,やまわき
山野,ヤマノ,やまの
岡,オカ,おか
岡山,オカヤマ,おかやま
岡島,オカジマ,おかじま
岡崎,オカザキ,おかざき
岡本,オカモト,おかもと
岡村,オカムラ,おかむら
岡田,オカダ,おかだ
岡部,オカベ,おかべ
岡野,オカノ,おかの
岩下,イワシタ,いわした
岩井,イワイ,いわい
岩佐,イワサ,いわさ
岩城,イワキ,いわき
岩崎,イワサキ,いわさき
岩本,イワモト,いわもと
岩永,イワナガ,いわなが
岩沢,イワサワ,いわさわ
岩渕,イワブチ,いわぶち
岩瀬,イワセ,いわせ
岩田,イワタ,いわた
岩谷,イワタニ,いわたに
岩間,イワマ,いわま
岸,キシ,きし
岸本,キシモト,きしもと
岸田,キシダ,きしだ
峰,ミネ,みね
島,シマ,しま
島崎,シマザキ,しまざき
島本,シマモト,しまもと
島村,シマムラ,しまむら
島津,シマヅ,しまづ
島田,シマダ,しまだ
島袋,シマブクロ,しまぶくろ
嶋田,シマダ,しまだ
川上,カワカミ,かわかみ
川井,カワイ,かわい
川原,カワハラ,かわはら
川口,カワグチ,かわぐち
川合,カワイ,かわい
川名,カワナ,かわな
川島,カワシマ,かわしま
川崎,カワサキ,かわさき
川嶋,カワシマ,かわしま
川本,カワモト,かわもと
川村,カワムラ,かわむら
川添,カワゾエ,かわぞえ
川瀬,カワセ,かわせ
川田,カワダ,かわだ
川畑,カワバタ,かわばた
川端,カワバタ,かわばた
川西,カワニシ,かわにし
川越,カワゴエ,かわごえ
川辺,カワベ,かわべ
川野,カワノ,かわの
工藤,クドウ,くどう
市原,イチハラ,いちはら
市川,イチカワ,いちかわ
市村,イチムラ,いちむら
布施,フセ,ふせ
平,タイラ,たいら
平井,ヒライ,ひらい
平原,ヒラハラ,ひらはら
平塚,ヒラツカ,ひらつか
平尾,ヒラオ,ひらお
平山,ヒラヤマ,ひらやま
平岡,ヒラオカ,ひらおか
平川,ヒラカワ,ひらかわ
平本,ヒラモト,ひらもと
平松,ヒラマツ,ひらまつ
平林,ヒラバヤシ,ひらばやし
平沢,ヒラサワ,ひらさわ
平田,ヒラタ,ひらた
平良,ヒラヨシ,ひらよし
平賀,ヒラガ,ひらが
平野,ヒラノ,ひらの
広川,ヒロカワ,ひろかわ
広瀬,ヒロセ,ひろせ
広田,ヒロタ,ひろた
庄司,ショウジ,しょうじ
影山,カゲヤマ,かげやま
後藤,ゴトウ,ごとう
徳永,トクナガ,とくなが
徳田,トクダ,とくだ
志村,シムラ,しむら
志田,シダ,しだ
志賀,シガ,しが
恩田,オンダ,おんだ
成瀬,ナルセ,なるせ
成田,ナリタ,なりた
我妻,アガツマ,あがつま
戸塚,トツカ,とつか
戸田,トダ,とだ
手塚,テヅカ,てづか
手島,テジマ,てじま
持田,モチダ,もちだ
斉藤,サイトウ,さいとう
斎藤,サイトウ,さいとう
新井,アライ,あらい
新保,シンポ,しんぽ
新倉,ニイクラ,にいくら
新垣,アラガキ,あらがき
新川,シンカワ,しんかわ
新村,ニイムラ,にいむら
新田,ニッタ,にった
新谷,アラヤ,あらや
日下,クサカ,くさか
日下部,クサカベ,くさかべ
日比野,ヒビノ,ひびの
日野,ヒノ,ひの
日高,ヒダカ,ひだか
早坂,ハヤサカ,はやさか
早川,ハヤカワ,はやかわ
明石,アカイシ,あかいし
星,ホシ,ほし
星野,ホシノ,ほしの
春日,カスガ,かすが
曽我,ソガ,そが
曽根,ソネ,そね
有田,アリタ,ありた
有賀,アリガ,ありが
有馬,アリマ,ありま
服部,ハットリ,はっとり
望月,モチヅキ,もちづき
朝倉,アサクラ,あさくら
木下,キノシタ,きのした
木内,キウチ,きうち
木原,キハラ,きはら
木戸,キド,きど
木本,キモト,きもと
木村,キムラ,きむら
木田,キダ,きだ
末吉,スエヨシ,すえよし
末永,スエナガ,すえなが
本多,ホンダ,ほんだ
本山,モトヤマ,もとやま
本村,モトムラ,もとむら
本橋,モトハシ,もとはし
本田,ホンダ,ほんだ
本郷,ホンゴウ,ほんごう
本間,ホンマ,ほんま
杉原,スギハラ,すぎはら
杉山,スギヤマ,すぎやま
杉本,スギモト,すぎもと
杉村,スギムラ,すぎむら
杉浦,スギウラ,すぎうら
杉田,スギタ,すぎた
杉野,スギノ,すぎの
李,リ,り
村上,ムラカミ,むらかみ
村井,ムライ,むらい
村山,ムラヤマ,むらやま
村岡,ムラオカ,むらおか
村木,ムラキ,むらき
村松,ムラマツ,むらまつ
村瀬,ムラセ,むらせ
村田,ムラタ,むらた
東,アズマ,あずま
東山,ヒガシヤマ,ひがしやま
東海林,ショウジ,しょうじ
東野,ヒガシノ,ひがしの
松下,マツシタ,まつした
松井,マツイ,まつい
松元,マツモト,まつもと
松原,マツバラ,まつばら
松尾,マツオ,まつお
松山,マツヤマ,まつやま
松岡,マツオカ,まつおか
松島,マツシマ,まつしま
松崎,マツザキ,まつざき
松川,マツカワ,まつかわ
松木,マツキ,まつき
松本,マツモト,まつもと
松村,マツムラ,まつむら
松永,マツナガ,まつなが
松沢,マツザワ,まつざわ
松浦,マツウラ,まつうら
松田,マツダ,まつだ
松野,マツノ,まつの
板倉,イタクラ,いたくら
板垣,イタガキ,いたがき
板橋,イタバシ,いたばし
林,ハヤシ,はやし
林田,ハヤシダ,はやしだ
柏原,カシワバラ,かしわばら
柏木,カシワギ,かしわぎ
染谷,ソメヤ,そめや
柳,ヤナギ,やなぎ
柳原,ヤナギハラ,やなぎはら
柳川,ヤナガワ,やながわ
柳沢,ヤナギサワ,やなぎさわ
柳瀬,ヤナセ,やなせ
柳田,ヤナギダ,やなぎだ
柴山,シバヤマ,しばやま
柴崎,シバザキ,しばざき
柴田,シバタ,しばた
柿崎,カキザキ,かきざき
栗原,クリハラ,くりはら
栗山,クリヤマ,くりやま
栗本,クリモト,くりもと
栗林,クリバヤシ,くりばやし
栗田,クリタ,くりた
根岸,ネギシ,ねぎし
根本,ネモト,ねもと
桑原,クハバラ,くはばら
桑田,クワタ,くわた
桜井,サクライ,さくらい
桜田,サクラダ,さくらだ
梅原,ウメハラ,うめはら
梅木,ウメキ,うめき
梅本,ウメモト,うめもと
梅村,ウメムラ,うめむら
梅沢,ウメザワ,うめざわ
梅津,ウメヅ,うめづ
梅田,ウメダ,うめだ
梶,カジ,かじ
梶原,カジワラ,かじわら
梶田,カジタ,かじた
棚橋,タナハシ,たなはし
森,モリ,もり
森下,モリシタ,もりした
森井,モリイ,もりい
森口,モリグチ,もりぐち
森山,モリヤマ,もりやま
森岡,モリオカ,もりおか
森島,モリシマ,もりしま
森川,モリカワ,もりかわ
森本,モリモト,もりもと
森永,モリナガ,もりなが
森田,モリタ,もりた
森脇,モリワキ,もりわき
森谷,モリヤ,もりや
植木,ウエキ,うえき
植村,ウエムラ,うえむら
植松,ウエマツ,うえまつ
植田,ウエダ,うえだ
椎名,シイナ,しいな
楠,クスノキ,くすのき
楠本,クスモト,くすもと
榊原,サカキバラ,さかきばら
榎本,エノモト,えのもと
樋口,ヒグチ,ひぐち
横井,ヨコイ,よこい
横尾,ヨコオ,よこお
横山,ヨコヤマ,よこやま
横川,ヨコカワ,よこかわ
横溝,ヨコミゾ,よこみぞ
横田,ヨコタ,よこた
橋口,ハシグチ,はしぐち
橋本,ハシモト,はしもと
橋爪,ハシヅメ,はしづめ
橘,タチバナ,たちばな
櫻井,サクライ,さくらい
正木,マサキ,まさき
武井,タケイ,たけい
武内,タケウチ,たけうち
武田,タケダ,たけだ
武藤,タケフジ,たけふじ
比嘉,ヒガ,ひが
毛利,モウリ,もうり
氏家,ウジイエ,うじいえ
水上,ミズカミ,みずかみ
水口,ミズグチ,みずぐち
水島,ミズシマ,みずしま
水田,ミズタ,みずた
水谷,ミズタニ,みずたに
水野,ミズノ,みずの
永井,ナガイ,ながい
永山,ナガヤマ,ながやま
永島,ナガシマ,ながしま
永瀬,ナガセ,ながせ
永田,ナガタ,ながた
永野,ナガノ,ながの
江原,エバラ,えばら
江口,エグチ,えぐち
江崎,エザキ,えざき
江川,エガワ,えがわ
江成,エナリ,えなり
江田,エダ,えだ
江藤,エトウ,えとう
江頭,エガシラ,えがしら
池上,イケガミ,いけがみ
池内,イケウチ,いけうち
池本,イケモト,いけもと
池田,イケダ,いけだ
池谷,イケタニ,いけたに
沖,オキ,おき
沖田,オキタ,おきた
沢,サワ,さわ
沢井,サワイ,さわい
沢村,サワムラ,さわむら
沢田,サワダ,さわだ
河上,カワカミ,かわかみ
河井,カワイ,かわい
河内,カワウチ,かわうち
河原,カワハラ,かわはら
河口,カワグチ,かわぐち
河合,カワイ,かわい
河崎,カワサキ,かわさき
河本,カワモト,かわもと
河村,カワムラ,かわむら
河田,カワダ,かわだ
河野,カワノ,かわの
沼田,ヌマタ,ぬまた
泉,イズミ,いずみ
波多野,ハタノ,はたの
津村,ツムラ,つむら
津田,ツダ,つだ
浅井,アサイ,あさい
浅川,アサカワ,あさかわ
浅沼,アサヌマ,あさぬま
浅田,アサダ,あさだ
浅見,アサミ,あさみ
浅野,アサノ,あさの
浜,ハマ,はま
浜口,ハマグチ,はまぐち
浜崎,ハマザキ,はまざき
浜本,ハマモト,はまもと
浜田,ハマダ,はまだ
浜野,ハマノ,はまの
浦田,ウラタ,うらた
浦野,ウラノ,うらの
海老原,エビハラ,えびはら
海野,ウミノ,うみの
深井,フカイ,ふかい
深沢,フカザワ,ふかざわ
深田,フカダ,ふかだ
深谷,フカヤ,ふかや
清水,キヨミズ,きよみず
清田,キヨタ,きよた
清野,キヨノ,きよの
渋谷,シブヤ,しぶや
渡辺,ワタナベ,わたなべ
渡邊,ワタナベ,わたなべ
渡部,ワタナベ,わたなべ
渥美,アツミ,あつみ
湊,ミナト,みなと
湯川,ユカワ,ゆかわ
湯浅,ユアサ,ゆあさ
溝口,ミゾグチ,みぞぐち
滋賀,シガ,しが
滝,タキ,たき
滝口,タキグチ,たきぐち
滝川,タキガワ,たきがわ
滝本,タキモト,たきもと
滝沢,タキザワ,たきざわ
滝田,タキタ,たきた
澤田,サワダ,さわだ
濱田,ハマダ,はまだ
瀬尾,セオ,せお
瀬川,セガワ,せがわ
瀬戸,セト,せと
熊倉,クマクラ,くまくら
熊沢,クマザワ,くまざわ
熊田,クマダ,くまだ
熊谷,クマガヤ,くまがや
片山,カタヤマ,かたやま
片岡,カタオカ,かたおか
片桐,カタギリ,かたぎり
片野,カタノ,かたの
牧,マキ,まき
牧野,マキノ,まきの
狩野,カノウ,かのう
猪俣,イノマタ,いのまた
猪股,イノマタ,いのまた
玉井,タマイ,たまい
玉城,タマキ,たまき
玉木,タマギ,たまぎ
玉田,タマダ,たまだ
玉置,タマキ,たまき
生田,イクタ,いくた
田上,タウエ,たうえ
田中,タナカ,たなか
田代,タシロ,たしろ
田原,タワラ,たわら
田口,タグチ,たぐち
田尻,タジリ,たじり
田島,タジマ,たじま
田崎,タザキ,たざき
田川,タガワ,たがわ
田所,タドコロ,たどころ
田村,タムラ,たむら
田沢,タザワ,たざわ
田淵,タブチ,たぶち
田渕,タブチ,たぶち
田畑,タバタ,たばた
田端,タバタ,たばた
田辺,タナベ,たなべ
甲斐,カイ,かい
町田,マチダ,まちだ
畑,ハタケ,はたけ
畑中,ハタナカ,はたなか
畠中,ハタナカ,はたなか
畠山,ハタケヤマ,はたけやま
白井,シライ,しらい
白川,シラカワ,しらかわ
白木,シラキ,しらき
白石,シライシ,しらいし
白鳥,シラトリ,しらとり
百瀬,モモセ,ももせ
的場,マトバ,まとば
皆川,ミナガワ,みながわ
益子,マスコ,ますこ
益田,マスダ,ますだ
目黒,メグロ,めぐろ
相原,アイハラ,あいはら
相川,アイカワ,あいかわ
相沢,アイザワ,あいざわ
相田,アイダ,あいだ
相良,サガラ,さがら
相馬,ソウマ,そうま
真田,サナダ,さなだ
真野,マノ,まの
真鍋,マナベ,まなべ
矢口,ヤグチ,やぐち
矢吹,ヤブキ,やぶき
矢島,ヤジマ,やじま
矢崎,ヤザキ,やざき
矢沢,ヤザワ,やざわ
矢田,ヤダ,やだ
矢部,ヤベ,やべ
矢野,ヤノ,やの
石丸,イシマル,いしまる
石井,イシイ,いしい
石倉,イシクラ,いしくら
石原,イシハラ,いしはら
石坂,イシザカ,いしざか
石垣,イシガキ,いしがき
石塚,イシヅカ,いしづか
石山,イシヤマ,いしやま
石岡,イシオカ,いしおか
石崎,イシザキ,いしざき
石川,イシカワ,いしかわ
石本,イシモト,いしもと
石村,イシムラ,いしむら
石橋,イシバシ,いしばし
石沢,イシザワ,いしざわ
石渡,イシワタリ,いしわたり
石田,イシダ,いしだ
石野,イシノ,いしの
石黒,イシグロ,いしぐろ
砂川,サガワ,さがわ
碓井,ウスイ,うすい
磯崎,イソザキ,いそざき
磯部,イソベ,いそべ
磯野,イソノ,いその
神保,ジンボ,じんぼ
神山,カミヤマ,かみやま
神崎,カンザキ,かんざき
神戸,コウベ,こうべ
神戸,ゴウド,ごうど
神田,カンダ,かんだ
神谷,カミヤ,かみや
神野,カミノ,かみの
神野,カンノ,かんの
福井,フクイ,ふくい
福元,フクモト,ふくもと
福原,フクハラ,ふくはら
福地,フクチ,ふくち
福山,フクヤマ,ふくやま
福岡,フクオカ,ふくおか
福島,フクシマ,ふくしま
福本,フクモト,ふくもと
福永,フクナガ,ふくなが
福沢,フクザワ,ふくざわ
福田,フクダ,ふくだ
秋元,アキモト,あきもと
秋山,アキヤマ,あきやま
秋本,アキモト,あきもと
秋田,アキタ,あきた
秋葉,アキバ,あきば
秦,ハタ,はた
稲垣,イナガキ,いながき
稲村,イナムラ,いなむら
稲田,イナダ,いなだ
稲葉,イナバ,いなば
窪田,クボタ,くぼた
立川,タチカワ,たちかわ
立石,タテイシ,たていし
立花,タチバナ,たちばな
竹下,タケシタ,たけした
竹中,タケナカ,たけなか
竹内,タケウチ,たけうち
竹原,タケハラ,たけはら
竹本,タケモト,たけもと
竹村,タケムラ,たけむら
竹田,タケダ,たけだ
笠井,カサイ,かさい
笠原,カサハラ,かさはら
笹原,ササハラ,ささはら
笹川,ササガワ,ささがわ
笹本,ササモト,ささもと
笹森,ササモリ,ささもり
筒井,ツツイ,つつい
篠原,シノハラ,しのはら
篠崎,シノザキ,しのざき
篠田,シノダ,しのだ
米倉,ヨネクラ,よねくら
米山,コメヤマ,こめやま
米沢,ヨネザワ,よねざわ
米田,ヨネダ,よねだ
粕谷,カスヤ,かすや
細井,ホソイ,ほそい
細川,ホソカワ,ほそかわ
細田,ホソダ,ほそだ
細谷,ホソヤ,ほそや
細野,ホソノ,ほその
紺野,コンノ,こんの
結城,ユウキ,ゆうき
緒方,オガタ,おがた
織田,オダ,おだ
羽田,ハタ,はた
羽鳥,ハトリ,はとり
脇田,ワキタ,わきた
臼井,ウスイ,うすい
舟木,フナキ,ふなき
船橋,フナバシ,ふなばし
船越,フナコシ,ふなこし
芦田,アシダ,あしだ
花井,ハナイ,はない
花岡,ハナオカ,はなおか
花田,ハナダ,はなだ
芳賀,ハガ,はが
若山,ワカヤマ,わかやま
若松,ワカマツ,わかまつ
若林,ワカバヤシ,わかばやし
茂木,モギ,もぎ
草野,クサノ,くさの
荒井,アライ,あらい
荒川,アラカワ,あらかわ
荒木,アラキ,あらき
荻原,オギワラ,おぎわら
荻野,オギノ,おぎの
菅,カン,かん
菅井,スガイ,すがい
菅原,スガハラ,すがはら
菅沼,スガヌマ,すがぬま
菅谷,スガヤ,すがや
菅野,スガノ,すがの
菊地,キクチ,きくち
菊池,キクチ,きくち
菊田,キクタ,きくた
萩原,ハギワラ,はぎわら
落合,オチアイ,おちあい
葛西,カサイ,かさい
藤井,フジイ,ふじい
